"log_time_s","publish_time_s","data"
"1773663162.62021","1773663162.6200073","DISCONNECTED"
"1773663174.0111327","1773663174.0109465","DISCONNECTED"
"1773663183.8795195","1773663183.8793337","DISCONNECTED"
"1773663193.7474687","1773663193.7472615","DISCONNECTED"
"1773663203.6161182","1773663203.6159565","DISCONNECTED"
"1773663213.4844086","1773663213.4842331","DISCONNECTED"
"1773663223.3520095","1773663223.3518264","DISCONNECTED"
"1773663233.220458","1773663233.2201943","DISCONNECTED"
"1773663243.0895536","1773663243.089365","DISCONNECTED"
"1773663252.9576185","1773663252.957406","DISCONNECTED"
"1773663262.8257933","1773663262.8255768","DISCONNECTED"
"1773663272.6943102","1773663272.6941154","DISCONNECTED"
"1773663282.5624454","1773663282.5622666","DISCONNECTED"
"1773663292.4302928","1773663292.4300804","DISCONNECTED"
"1773663302.3007052","1773663302.2999597","DISCONNECTED"
"1773663312.177744","1773663312.1775336","DISCONNECTED"
"1773663322.0454822","1773663322.045289","DISCONNECTED"
"1773663331.913543","1773663331.9133654","DISCONNECTED"
"1773663341.7815561","1773663341.7813673","DISCONNECTED"
"1773663349.0943727","1773663349.094176","CONNECTED"
